fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,Type,BoundaryNm,SURVEY_LINE,Operator,point_index,polyline,colour,Marker,MarkerSize
11400.40039,galei,472995,6961317,71,42.4,113.5,FaultVertical,Fault,1020001,User,260,1,black,line-ns,20
11002.7998,galei,576204,7001053,6,100.3,106.2,TOP_Cotchin,Top_Cotchin_clay,1018001,User,24,1,#FE020E,triangle-down,12
10971.7998,galei,578203,7001040,10,88.3,98.8,TOP_Cotchin,Top_Cotchin_clay,1018001,User,64,1,#FE020E,triangle-down,12
10935.40039,galei,580603,7001048,18,76.3,94.3,TOP_Cotchin,Top_Cotchin_clay,1018001,User,112,1,#FE020E,triangle-down,12
10905,galei,582651,7000974,18,76.3,94.7,TOP_Cotchin,Top_Cotchin_clay,1018001,User,153,1,#FE020E,triangle-down,12
10889.59961,galei,583701,7000974,13,94.3,107.2,TOP_Cotchin,Top_Cotchin_clay,1018001,User,174,1,#FE020E,triangle-down,12
10865,galei,585300,7001005,29,106.3,135,TOP_Cotchin,Top_Cotchin_clay,1018001,User,206,1,#FE020E,triangle-down,12
10843.2002,galei,586650,7001015,15,88.3,103,TOP_Cotchin,Top_Cotchin_clay,1018001,User,233,1,#FE020E,triangle-down,12
10834.2002,galei,587200,7001026,21,82.3,103.2,TOP_Cotchin,Top_Cotchin_clay,1018001,User,244,1,#FE020E,triangle-down,12
10815.59961,galei,588349,7001018,23,70.3,93.6,TOP_Cotchin,Top_Cotchin_clay,1018001,User,267,1,#FE020E,triangle-down,12
10796.59961,galei,589549,7001000,13,64.3,77.2,TOP_Cotchin,Top_Cotchin_clay,1018001,User,291,1,#FE020E,triangle-down,12
10783.40039,galei,590399,7000994,13,64.3,77.2,TOP_Cotchin,Top_Cotchin_clay,1018001,User,308,1,#FE020E,triangle-down,12
10760,galei,591898,7000968,13,64.3,77.1,TOP_Cotchin,Top_Cotchin_clay,1018001,User,338,1,#FE020E,triangle-down,12
10730.59961,galei,593797,7000927,18,58.3,76.4,TOP_Cotchin,Top_Cotchin_clay,1018001,User,376,1,#FE020E,triangle-down,12
10715.2002,galei,594797,7000911,12,64.3,76.6,TOP_Cotchin,Top_Cotchin_clay,1018001,User,396,1,#FE020E,triangle-down,12
11395.7998,galei,473295,6961316,40,96.4,136.8,TOP_Cotchin,Top_Cotchin_clay,1020001,User,266,1,#FE020E,triangle-down,12
11375.7998,galei,474594,6961321,43,90.4,133,TOP_Cotchin,Top_Cotchin_clay,1020001,User,292,1,#FE020E,triangle-down,12
11351,galei,476244,6961308,23,84.4,106.9,TOP_Cotchin,Top_Cotchin_clay,1020001,User,325,1,#FE020E,triangle-down,12
11323.59961,galei,478093,6961335,39,84.4,123.2,TOP_Cotchin,Top_Cotchin_clay,1020001,User,362,1,#FE020E,triangle-down,12
11309,galei,479043,6961334,13,108.4,121.3,TOP_Cotchin,Top_Cotchin_clay,1020001,User,381,1,#FE020E,triangle-down,12
10578.40039,galei,518153,6921032,32,119.8,152.2,TOP_Cotchin,Top_Cotchin_clay,1022002,User,3,1,#FE020E,triangle-down,12
10539.40039,galei,520752,6921066,1,143.8,144.8,TOP_Cotchin,Top_Cotchin_clay,1022002,User,55,1,#FE020E,triangle-down,12
10530.7998,galei,521302,6921056,22,149.8,171.8,TOP_Cotchin,Top_Cotchin_clay,1022002,User,66,1,#FE020E,triangle-down,12
10510.40039,galei,522601,6921043,5,143.8,148.8,TOP_Cotchin,Top_Cotchin_clay,1022002,User,92,1,#FE020E,triangle-down,12
10479.7998,galei,524500,6921053,17,155.8,172.4,TOP_Cotchin,Top_Cotchin_clay,1022002,User,130,1,#FE020E,triangle-down,12
10459,galei,525749,6921056,12,131.8,143.5,TOP_Cotchin,Top_Cotchin_clay,1022002,User,155,1,#FE020E,triangle-down,12
10425.7998,galei,527899,6921044,15,113.8,129.1,TOP_Cotchin,Top_Cotchin_clay,1022002,User,198,1,#FE020E,triangle-down,12
10398.7998,galei,529648,6921043,13,107.8,121.1,TOP_Cotchin,Top_Cotchin_clay,1022002,User,233,1,#FE020E,triangle-down,12
10350.2002,galei,532797,6921043,6,95.8,101.5,TOP_Cotchin,Top_Cotchin_clay,1022002,User,296,1,#FE020E,triangle-down,12
10332.7998,galei,533897,6921021,15,101.8,117.3,TOP_Cotchin,Top_Cotchin_clay,1022002,User,318,1,#FE020E,triangle-down,12
10322,galei,534596,6921001,19,95.8,114.3,TOP_Cotchin,Top_Cotchin_clay,1022002,User,332,1,#FE020E,triangle-down,12
10316.59961,galei,534946,6920992,21,89.8,111.1,TOP_Cotchin,Top_Cotchin_clay,1022002,User,339,1,#FE020E,triangle-down,12
10289.7998,galei,536695,6921024,19,95.8,114.3,TOP_Cotchin,Top_Cotchin_clay,1022002,User,374,1,#FE020E,triangle-down,12
7161,galei,630340,6844482,27,387.3,414.5,TOP_Cotchin,Top_Cotchin_clay,1030002,User,7,1,#FE020E,triangle-down,12
7131.399902,galei,632337,6844414,31,387.3,418.3,TOP_Cotchin,Top_Cotchin_clay,1030002,User,47,1,#FE020E,triangle-down,12
7120.200195,galei,633086,6844373,27,387.3,414.8,TOP_Cotchin,Top_Cotchin_clay,1030002,User,62,1,#FE020E,triangle-down,12
7107.399902,galei,633935,6844329,24,387.3,411.8,TOP_Cotchin,Top_Cotchin_clay,1030002,User,79,1,#FE020E,triangle-down,12
7087.399902,galei,635283,6844261,22,387.3,409.4,TOP_Cotchin,Top_Cotchin_clay,1030002,User,106,1,#FE020E,triangle-down,12
7080,galei,635782,6844230,28,387.3,415.4,TOP_Cotchin,Top_Cotchin_clay,1030002,User,116,1,#FE020E,triangle-down,12
7058,galei,637178,6844145,26,387.3,413.5,TOP_Cotchin,Top_Cotchin_clay,1030002,User,144,1,#FE020E,triangle-down,12
7044.799805,galei,638028,6844109,23,387.3,410.2,TOP_Cotchin,Top_Cotchin_clay,1030002,User,161,1,#FE020E,triangle-down,12
7014.600098,galei,640024,6843996,17,393.3,410.4,TOP_Cotchin,Top_Cotchin_clay,1030002,User,201,1,#FE020E,triangle-down,12
6987.200195,galei,641871,6843894,19,393.3,412.6,TOP_Cotchin,Top_Cotchin_clay,1030002,User,238,1,#FE020E,triangle-down,12
6971.200195,galei,642969,6843837,17,393.3,410,TOP_Cotchin,Top_Cotchin_clay,1030002,User,260,1,#FE020E,triangle-down,12
6948.399902,galei,644517,6843751,29,387.3,415.9,TOP_Cotchin,Top_Cotchin_clay,1030002,User,291,1,#FE020E,triangle-down,12
6935.799805,galei,645365,6843709,16,393.3,409.7,TOP_Cotchin,Top_Cotchin_clay,1030002,User,308,1,#FE020E,triangle-down,12
