fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
10844.0,galei,586600,7001014,8,94.3,102.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,232,black,triangle-down,20
10844.0,galei,586600,7001014,44,58.3,102.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,232,darkgrey,triangle-up-dot,20
10844.0,galei,586600,7001014,86,16.3,102.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,232,black,triangle-down-dot,20
10936.2001953125,galei,580553,7001048,18,76.3,94.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,111,black,triangle-down,20
10936.2001953125,galei,580553,7001048,30,64.3,94.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,111,black,triangle-down,20
11475.2001953125,galei,467846,6961294,41,36.4,77.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1020001,User,157,black,triangle-down-dot,20
11475.2001953125,galei,467846,6961294,95,-17.6,77.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1020001,User,157,black,triangle-down-dot,20
11535.0,galei,463697,6961299,8,42.4,50.9,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1020001,User,74,black,triangle-down,20
11535.0,galei,463697,6961299,68,-17.6,50.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1020001,User,74,darkgrey,triangle-up-dot,20
11535.0,galei,463697,6961299,200,-149.6,50.9,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1020001,User,74,black,triangle-down-dot,20
11535.0,galei,463697,6961299,254,-203.6,50.9,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1020001,User,74,black,triangle-down-dot,20
11387.400390625,galei,473844,6961311,41,96.4,137.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1020001,User,277,black,triangle-down,20
11387.400390625,galei,473844,6961311,95,42.4,137.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1020001,User,277,black,triangle-down,20
10540.2001953125,galei,520702,6921066,0,143.8,143.6,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1022002,User,54,black,triangle-up,20
10322.0,galei,534596,6921001,19,95.8,114.3,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1022002,User,332,black,triangle-down,20
10322.0,galei,534596,6921001,55,59.8,114.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1022002,User,332,darkgrey,triangle-up-dot,20
6986.39990234375,galei,641921,6843891,19,393.3,411.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,239,black,triangle-down,20
6986.39990234375,galei,641921,6843891,73,339.3,411.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,239,darkgrey,triangle-up-dot,20
6986.39990234375,galei,641921,6843891,139,273.3,411.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,239,black,triangle-down-dot,20
6986.39990234375,galei,641921,6843891,193,219.3,411.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,239,black,triangle-down-dot,20
5402.39990234375,galei,435543,6984607,-2,544.5,543.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,triangle-up-dot,20
5402.39990234375,galei,435543,6984607,100,442.5,543.0,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,x,20
5402.39990234375,galei,435543,6984607,130,412.5,543.0,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,x,20
5511.60009765625,galei,442942,6984634,1,502.5,503.6,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1037001,User,159,black,triangle-up,20
5511.60009765625,galei,442942,6984634,85,418.5,503.6,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1037001,User,159,black,triangle-up,20
7169.0,galei,383608,6041720,1,66.0,67.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,122,darkgrey,triangle-up-dot,20
7169.0,galei,383608,6041720,85,-18.0,67.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,122,darkgrey,triangle-up-dot,20
7247.7998046875,galei,378560,6041707,10,6.0,15.9,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1066001,User,21,black,triangle-up,20
7247.7998046875,galei,378560,6041707,58,-42.0,15.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,21,darkgrey,triangle-up-dot,20
7247.7998046875,galei,378560,6041707,82,-66.0,15.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,21,darkgrey,triangle-up-dot,20
7056.39990234375,galei,390601,6041720,-2,36.0,34.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1066001,User,262,black,triangle-up,20
7056.39990234375,galei,390601,6041720,58,-24.0,34.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,262,darkgrey,triangle-up-dot,20
7056.39990234375,galei,390601,6041720,94,-60.0,34.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,262,darkgrey,triangle-up-dot,20
5577.39990234375,galei,338506,6963766,115,346.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,x,20
5577.39990234375,galei,338506,6963766,169,292.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,x,20
5577.39990234375,galei,338506,6963766,61,400.7,462.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,triangle-up-dot,20
5577.39990234375,galei,338506,6963766,31,430.7,462.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,170,black,triangle-down,20
5577.39990234375,galei,338506,6963766,1,460.7,462.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,2036001,User,170,black,triangle-up,20
5601.60009765625,galei,336907,6963753,2,460.7,462.3,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,2036001,User,138,black,triangle-up,20
