fiducial,inversion_name,X,Y,ELEVATION,DEM,DEPTH,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index
181174,lci,675106,7147624,359.5,390.8370293,31,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,6
181179,lci,675228,7147521,359.5,398.3111637,39,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,10
181193,lci,675553,7147288,354.5,406.4418604,52,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,20
181202,lci,675781,7147126,324.5,398.4210896,74,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,27
181209,lci,675944,7147010,349.5,391.0587573,42,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,32
181265,lci,677353,7145957,309.5,359.3093042,50,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,76
181260,lci,677223,7146051,304.5,362.1745761,58,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,72
181249,lci,676933,7146264,309.5,363.6539084,54,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,63
181240,lci,676707,7146429,314.5,367.0364916,53,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,56
181235,lci,676586,7146533,324.5,369.0337725,45,,BASE_Cenozoic_TOP_Mesozoic,BaseCenozoic,M,IAEM,M,Cenozoic Regolith,76541,Evergreen Formation,6416,,,,,,,200101,Neil Symington,52
181170,lci,675004,7147688,304.5,388.4313114,84,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,3
181178,lci,675198,7147547,304.5,397.1555239,93,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,9
181199,lci,675683,7147195,299.5,402.8523803,103,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,24
181209,lci,675944,7147010,289.5,391.0587573,102,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,32
181223,lci,676300,7146751,294.5,376.9060459,82,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,43
181241,lci,676737,7146402,274.5,367.1091832,93,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,57
181252,lci,677030,7146192,249.5,362.4871489,113,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,66
181270,lci,677488,7145871,259.5,353.1003626,94,,INTRA_Mesozoic,BaseEvergreenTopPrecipice,M,IAEM,M,Evergreen Formation,6416,Precipice Sandstone,15540,,,,,,,200101,Neil Symington,80
