,OBJECTID,ENO,WELL,Latitude,Longitude,GA_GUID,UWI,GA_UNIT,TOP_MD_M,BASE_MD_M,DATUM_ELEVATION,TD_MD_M,DATA_SOURCE,SRTM_HE,HIERARCHY,POINT_X,POINT_Y,Diff_X,Diff_Y,GDA94_Latitude,GDA94_Longitude,GA_PREFERRED_TD_M,GA_ELEVATION,TAG,GA_STRATNO,TOP_AHD_M,BASE_AHD_M,geometry
135,136,11706.0,Glenaras 1,-23.09624167,144.72419169999998,{5e6df2a9-68b6-48dd-bab6-2e581adc5194},11706,Mackunda Formation,0.0,47.9,239.0,1637.1,GA_2020,231.49797059999997,10,144.72419169999998,-23.09624167,0.0,1.0300000000000002e-13,-23.0962417,144.72419169999998,1637.1,235.3,,10952.0,239.0,191.1,POINT (266894.6424279733 7444009.544972059)
136,137,11706.0,Glenaras 1,-23.09624167,144.72419169999998,{f7d09da9-bf17-4725-a42e-7a424a49b094},11706,Rolling Downs Group,0.0,557.8,239.0,1637.1,GA_2020,231.49797059999997,10,144.72419169999998,-23.09624167,0.0,1.0300000000000002e-13,-23.0962417,144.72419169999998,1637.1,235.3,,16267.0,239.0,-318.8,POINT (266894.6424279733 7444009.544972059)
137,138,11706.0,Glenaras 1,-23.0952778,144.7286111,{42d765ea-96df-4d95-8564-44b969629ffc},11706,Winton Formation,3.7,,239.0,1637.1,GSQ_QPED_2017,231.49797059999997,8,144.7286111,-23.0952778,0.0,0.0,-23.0962417,144.72419169999998,1637.1,235.3,,20268.0,235.3,,POINT (267345.8149183241 7444123.357527595)
138,139,11706.0,Glenaras 1,-23.0952778,144.7286111,{d1d76fb3-f342-4863-9b9d-519ac0cb1ece},11706,Allaru Mudstone,219.5,390.8,239.0,1637.1,GSQ_QPED_2017,231.49797059999997,8,144.7286111,-23.0952778,0.0,0.0,-23.0962417,144.72419169999998,1637.1,235.3,,291.0,19.5,-151.8,POINT (267345.8149183241 7444123.357527595)
139,140,11706.0,Glenaras 1,-23.0952778,144.7286111,{cd0a76c9-3b77-443d-9832-55c1913b1152},11706,Toolebuc Formation,390.8,399.3,239.0,1637.1,GSQ_QPED_2017,231.49797059999997,8,144.7286111,-23.0952778,0.0,0.0,-23.0962417,144.72419169999998,1637.1,235.3,,18375.0,-151.8,-160.3,POINT (267345.8149183241 7444123.357527595)
140,141,11706.0,Glenaras 1,-23.09624167,144.72419169999998,{deebfb71-d9d2-4b49-b794-79c8ed6970bf},11706,Doncaster Member,399.3,557.8,239.0,1637.1,GA_2020,231.49797059999997,10,144.72419169999998,-23.09624167,0.0,1.0300000000000002e-13,-23.0962417,144.72419169999998,1637.1,235.3,,5593.0,-160.3,-318.8,POINT (266894.6424279733 7444009.544972059)
141,142,11706.0,Glenaras 1,-23.0952778,144.7286111,{36e7a31f-1711-4331-9e35-0e5a9de76ff8},11706,Wallumbilla Formation,399.3,558.4,239.0,1637.1,GSQ_QPED_2017,231.49797059999997,8,144.7286111,-23.0952778,0.0,0.0,-23.0962417,144.72419169999998,1637.1,235.3,,19323.0,-160.3,-319.4,POINT (267345.8149183241 7444123.357527595)
451,452,15136.0,Rodney Creek 3,-23.067222,144.76916699999998,{44d3b054-2d52-485c-bdaf-6c2378c8c99e},15136,Mackunda Formation,4.25,122.0,213.6921234,985.0,GA_2020,213.6921234,10,144.76916699999998,-23.067222,0.0,0.0,-23.067222,144.76916699999998,985.0,260.81,,10952.0,209.4421234,91.69212341,POINT (271453.901278181 7447294.877959455)
452,453,15136.0,Rodney Creek 3,-23.067222,144.76916699999998,{e5b0446e-5842-4325-b2d5-bcdf0640d24e},15136,Allaru Mudstone,122.0,370.5,213.6921234,985.0,GA_2020,213.6921234,10,144.76916699999998,-23.067222,0.0,0.0,-23.067222,144.76916699999998,985.0,260.81,,291.0,91.69212341,-156.8078766,POINT (271453.901278181 7447294.877959455)
453,454,15136.0,Rodney Creek 3,-23.067222,144.76916699999998,{53d8dd05-cb6f-4580-964b-8204b4705e0d},15136,Toolebuc Formation,370.5,383.5,213.6921234,985.0,GA_2020,213.6921234,10,144.76916699999998,-23.067222,0.0,0.0,-23.067222,144.76916699999998,985.0,260.81,,18375.0,-156.8078766,-169.8078766,POINT (271453.901278181 7447294.877959455)
